OBJECTID,ASSET_NAME,SITE_NAME,CHILD_OF,ADDRESS,TYPE,DESCRIPTION,SQ_FEET,ACREAGE,ZIPCODE,ALLIAS,NOTES,TENANT,LABEL,DPP_ASSET_ID,PPR_USE,Shape__Area,Shape__Length
249,Kelly Pool,Memorial Area,West Fairmount Park,4200 LANSDOWNE DR,LAND,NO_PROGRAM,58096.84605026,1.3337254,19131,J.B. Kelly Pool,MAP,NOT_SITE,Kelly Pool,1278,POOL,9203.0234375,396.646566261066
250,30th & Jefferson Playground,30th & Jefferson Playground,30th & Jefferson Playground,3007 JEFFERSON ST,LAND,NO_PROGRAM,52377.64816901,1.20243016,19121, ,MAP,SITE,30th & Jefferson ,797,RECREATION_SITE,8297.15234375,365.134231251495
251,20th & Tioga Field,20th & Tioga Field,20th & Tioga Field,2001 W TIOGA ST,LAND,NO_PROGRAM,52064.32490179,1.19523722,19140, ,MAP,SITE,20th & Tioga Field,573,ATHLETIC,8254.3671875,365.439377600586
252,Nelson M. Herron Playground and Recreation Center,Nelson M. Herron Playground and Recreation Center,Nelson M. Herron Playground and Recreation Center,1322 S 02ND ST,LAND,PROGRAM,48780.82231216,1.11985807,19147,"Herron, Herron Playground",MAP,SITE,Herron ,2898,RECREATION_SITE,7716.33203125,353.934264226671
253,Buist Park,Buist Park,Buist Park,2528 HOBSON ST,LAND,NO_PROGRAM,48203.10026215,1.10659534,19142, ,MAP,SITE,Buist Park,8,MINI_PARK,7622.26171875,357.423856729265
254,Black-Coyle-McBride Playground,Black-Coyle-McBride Playground,Black-Coyle-McBride Playground,2137 E HAZZARD ST,LAND,PROGRAM,46514.94451464,1.06784046,19125,Pop's Playground,MAP,SITE,Black-Coyle-McBride,1820,RECREATION_SITE,7369.37109375,455.590481113774
255,Russell DeRitis Playground,Russell DeRitis Playground,Russell DeRitis Playground,5655 GRAYS AVE,LAND,NO_PROGRAM,45458.7044147,1.04359243,19143,DeRitis Playground,MAP,SITE,DeRitis ,198,RECREATION_SITE,7191.0390625,416.327980600208
256,Fletcher B. Amos Playground,Fletcher B. Amos Playground,Fletcher B. Amos Playground,1843 N 16TH ST,LAND,PROGRAM,44288.53722712,1.01672898,19121,"Amos, Amos Playground",MAP,SITE,Amos,1809,RECREATION_SITE,7016.18359375,383.238357227692
257,Fairview Park,Fairview Park,Fairview Park,4418 MANAYUNK AVE,LAND,NO_PROGRAM,44033.55835968,1.01087545,19128, ,MAP,SITE,Fairview Park,806,MINI_PARK,6985.78125,335.077426090646
258,Hawthorne Cultural Center,Hawthorne Cultural Center,Hawthorne Cultural Center,1200 CARPENTER ST,LAND,PROGRAM,44535.00616478,1.02238715,19147,"Hawthorne, Hawthorne Recreation Center",MAP,SITE,Hawthorne Cultural Center,1869,RECREATION_SITE,7046.29296875,441.930174099447
259,Winston Park,Winston Park,Winston Park,185 E WILLOW GROVE AVE,LAND,NO_PROGRAM,44220.15355488,1.0151591,19118, ,MAP,SITE,Winston Park,1133,MINI_PARK,7024.0859375,599.428441613633
260,Konrad Square,Konrad Square,Konrad Square,2200 E DAUPHIN ST,LAND,NO_PROGRAM,44260.36163821,1.01608216,19125, ,MAP,SITE,Konrad Square,783,MINI_PARK,7011.2578125,334.149991836139
261,Ridgway Park,Ridgway Park,Ridgway Park,1301 CARPENTER ST,LAND,NO_PROGRAM,44235.38620677,1.0155088,19147,Ridgway Pool,MAP,SITE,Ridgway Park,2882,MULTI_USE,6999.078125,364.565442996962
262,Lincoln Pool,Lincoln Pool,Lincoln Pool,7437 ROWLAND AVE,LAND,PROGRAM,71509.43911288,1.6416374,19136,Mayfair Memorial Playground,MAP,SITE,Lincoln Pool,3471,POOL,11348.77734375,585.073775318438
263,Woodward Pines,Woodward Pines,Woodward Pines,7922 LINCOLN DR,LAND,NO_PROGRAM,59003.3734448,1.35453649,19118, ,MAP,SITE,Woodward Pines,2823,COMMUNITY_PARK,9370.80078125,755.404285949417
264,33rd & Wallace Playground,33rd & Wallace Playground,33rd & Wallace Playground,3302 WALLACE ST,LAND,PROGRAM,41245.02591496,0.9468593,19104, ,MAP,SITE,33rd & Wallace ,1801,RECREATION_SITE,6530.875,363.812414996341
265,Ann P. Nichols Park,Ann P. Nichols Park,Ann P. Nichols Park,5430 RACE ST,LAND,NO_PROGRAM,38576.96975054,0.88560891,19139,Nichols Park,MAP,SITE,Nichols Park,494,MINI_PARK,6108.09765625,328.530252971226
266,Weccacoe Playground,Weccacoe Playground,Weccacoe Playground,425 QUEEN ST,LAND,PROGRAM,39366.8411076,0.90374193,19147,Weccacoe,MAP,SITE,Weccacoe ,1969,RECREATION_SITE,6228.515625,314.661066536613
267,Frankford & Pennypack Park,Frankford & Pennypack Park,Frankford & Pennypack Park,4400 PENNYPACK ST,LAND,NO_PROGRAM,39911.64868712,0.91624904,19136,Frankford Neighborhood Park,MAP,SITE,Frankford & Pennypack Park,390,MINI_PARK,6334.9375,322.437897494398
268,Powers Park,Powers Park,Powers Park,2987 ALMOND ST,LAND,NO_PROGRAM,39118.93079509,0.89805067,19134, ,MAP,SITE,Powers Park,591,MINI_PARK,6197.3828125,318.784547913281
269,Gold Star Park,Gold Star Park,Gold Star Park,613 WHARTON ST,LAND,NO_PROGRAM,38460.9708005,0.88294593,19147, ,MAP,SITE,Gold Star Park,143,MINI_PARK,6084.28515625,315.620069798698
270,Hawthorne Park,Hawthorne Park,Hawthorne Park,750 S 12TH ST,LAND,NO_PROGRAM,38096.57400993,0.8745805,19147, ,MAP,SITE,Hawthorne Park,2884,NEIGHBORHOOD_PARK,6028.01953125,307.769197198538
271,East Passyunk Community Recreation Center,East Passyunk Community Recreation Center,East Passyunk Community Recreation Center,1027 MIFFLIN ST,LAND,PROGRAM,34613.90927207,0.79462919,19148,Tolentine Community Center,MAP,SITE,East Passyunk Community,1963,MINI_PARK,5474.6640625,341.318248969385
272,Disston Recreation Center,Disston Recreation Center,Disston Recreation Center,4423 LONGSHORE AVE,LAND,PROGRAM,145085.29860197,3.33071347,19135, ,MAP,SITE,Disston Rec,1847,RECREATION_SITE,23015.9765625,606.01935435003
273,Feltonville Recreation Center,Feltonville Recreation Center,Feltonville Recreation Center,283 E WYOMING AVE,LAND,PROGRAM,142849.77500391,3.27939271,19120,Feltonville,MAP,SITE,Feltonville,1853,RECREATION_SITE,22657.046875,639.562083970132
274,Frank Palumbo Recreation Center,Frank Palumbo Recreation Center,Frank Palumbo Recreation Center,700 S 09TH ST,LAND,PROGRAM,140307.41352309,3.22102789,19147,"Palumbo, Palumbo Recreation Center",MAP,SITE,Palumbo Rec,1927,RECREATION_SITE,22201.2421875,593.555166246199
275,Albert W. Christy Recreation Center,Albert W. Christy Recreation Center,Albert W. Christy Recreation Center,728 S 55TH ST,LAND,PROGRAM,137427.12729188,3.15490535,19143,Sherwood Recreation Centre,MAP,SITE,Christy,1829,RECREATION_SITE,21750.18359375,627.500685247603
276,Jefferson Square,Jefferson Square,Jefferson Square,300 WASHINGTON AVE,LAND,NO_PROGRAM,136263.07568327,3.12818229,19147, ,MAP,SITE,Jefferson Square,199,SQUARE_PLAZA,21556.421875,596.829673608253
277,East Poplar Field,East Poplar Field,East Poplar Field,901 N 08TH ST,LAND,NO_PROGRAM,134222.63093115,3.08133994,19123, ,MAP,SITE,East Poplar Field,3101,ATHLETIC,21255.44921875,620.389188602106
278,63rd & Lindbergh Park,63rd & Lindbergh Park,63rd & Lindbergh Park,2800 S 63RD ST,LAND,NO_PROGRAM,135936.50011895,3.12068512,19142,Carboni Ball Field ,MAP,SITE,63rd & Lindbergh Park,1895,NEIGHBORHOOD_PARK,21496.234375,611.590434296082
279,William A. Cibotti Recreation Center,William A. Cibotti Recreation Center,William A. Cibotti Recreation Center,2500 S 77TH ST,LAND,PROGRAM,132686.45326506,3.04607401,19153,"Cibotti, Cibotti Recreation Center",MAP,SITE,Cibotti ,498,RECREATION_SITE,20975.109375,625.253969096889
280,Stinger Square Playground,Stinger Square Playground,Stinger Square Playground,1400 S 32ND ST,LAND,PROGRAM,134974.59203113,3.09860266,19146, ,MAP,SITE,Stinger Square ,443,RECREATION_SITE,21354.1796875,589.560987269718
281,Northwood Park,Northwood Park,Northwood Park,999 ARROTT ST,LAND,NO_PROGRAM,130511.28323327,2.99613878,19124, ,MAP,SITE,Northwood Park,121,NEIGHBORHOOD_PARK,20700.5703125,590.423987520417
282,Lower Mayfair Playground,Lower Mayfair Playground,Lower Mayfair Playground,3001 ROBBINS ST,LAND,PROGRAM,130144.03954295,2.98770799,19149,Lower Mayfair,MAP,SITE,Lower Mayfair ,1898,RECREATION_SITE,20646.28125,610.318428928256
283,Pleasant Hill Park,Pleasant Hill Park,Fish Hatchery at Pleasant Hill Park,9201 N DELAWARE AVE,LAND,NO_PROGRAM,129779.12550619,2.97933068,19114,"Torresdale Fish Hatchery;Pleasant Hill Beach",NO_MAP,NOT_SITE,,3086,NEIGHBORHOOD_PARK,20596.6484375,1027.85660913226
284,Robert T. Heitzman Recreation Center,Robert T. Heitzman Recreation Center,Robert T. Heitzman Recreation Center,2136 CASTOR AVE,LAND,PROGRAM,126656.19027306,2.90763767,19134,"Heitzman, Heitzman Playground",MAP,SITE,Heitzman ,1870,RECREATION_SITE,20074.34765625,577.61735027239
285,Fairhill Square,Fairhill Square,Fairhill Square,2649 N LAWRENCE ST,LAND,NO_PROGRAM,124688.84934575,2.86247356,19133, ,MAP,SITE,Fairhill Square,924,SQUARE_PLAZA,19758.6640625,605.272971419118
286,Wister Playground,Wister Playground,Wister Playground,4971 BAYNTON ST,LAND,PROGRAM,124329.80771791,2.85423106,19144,Wister,MAP,SITE,Wister ,1974,RECREATION_SITE,19725.765625,611.738781227234
287,"Charles H. Chew, Sr. Playground","Charles H. Chew, Sr. Playground","Charles H. Chew, Sr. Playground",1800 WASHINGTON AVE,LAND,PROGRAM,121904.52289923,2.79855396,19146,"Chew, Chew Playground",MAP,SITE,Chew ,268,RECREATION_SITE,19287.55859375,588.598091389924
288,Donald P. Finnegan Recreation Center,Donald P. Finnegan Recreation Center,Donald P. Finnegan Recreation Center,1231 S 30TH ST,LAND,PROGRAM,122055.67454704,2.80202394,19146,Oakford,MAP,SITE,Donald Finnegan ,452,RECREATION_SITE,19311.33203125,574.209961667073
289,Joseph V. Kelly Memorial Playground,Joseph V. Kelly Memorial Playground,Joseph V. Kelly Memorial Playground,440 PARKER AVE,LAND,NO_PROGRAM,120799.35453313,2.77318268,19128,Kelly Park,MAP,SITE,Kelly Playground,758,MINI_PARK,19170.8125,569.081401919373
290,Ramblers Recreation Center Ballfield,Ramblers Recreation Center,Ramblers Recreation Center,865 E ATLANTIC ST,LAND,NO_PROGRAM,117567.71158995,2.69899407,19134,"Harrowgate, Ramblers PAL Center",NO_MAP,NOT_SITE,,728,ATHLETIC,18636.39453125,558.198825707359
291,Campbell Square,Campbell Square,Campbell Square,2525 E ALLEGHENY AVE,LAND,NO_PROGRAM,113849.59497438,2.61363752,19134,Allegheny Square,MAP,SITE,Campbell Square,1128,SQUARE_PLAZA,18038.484375,535.657927594542
292,Mill Creek Playground and Recreation Center,Mill Creek Playground and Recreation Center,Mill Creek Playground and Recreation Center,4728 BROWN ST,LAND,PROGRAM,114445.30377449,2.62731317,19139,"Mill Creek, Mill Creek Playground",MAP,SITE,Mill Creek ,1911,RECREATION_SITE,18122.0078125,534.340869939413
293,Morton Playground,Morton Playground,Morton Playground,88 E HAINES ST,LAND,PROGRAM,113386.67414171,2.60301028,19144, ,MAP,SITE,Morton ,1915,RECREATION_SITE,17993.49609375,576.516311506873
294,Woodside Park,Woodside Park,Woodside Park,3918 CONSHOHOCKEN AVE,LAND,PROGRAM,114115.33176248,2.61973802,19131,"Wynnefield Heights;Conshohocken Windemere",MAP,SITE,Woodside Park,1840,NEIGHBORHOOD_PARK,18088.92578125,615.286812859967
295,Miles Mack Playground,Miles Mack Playground,Miles Mack Playground,736 N 36TH ST,LAND,PROGRAM,110406.21890138,2.53458817,19104,"Miles Mack, McAlpine, Mack, McAlpin",MAP,SITE,Miles Mack ,1910,RECREATION_SITE,17483.375,535.241442080612
296,Cloverly Park,Cloverly Park,Cloverly Park,5425 WISSAHICKON AVE,LAND,NO_PROGRAM,110828.93699383,2.54429248,19144, ,MAP,SITE,Cloverly Park,772,NEIGHBORHOOD_PARK,17580.22265625,531.439327669244
297,Roberto Clemente Playground,Roberto Clemente Playground,Roberto Clemente Playground,1800 WALLACE ST,LAND,PROGRAM,110762.10752419,2.54275828,19130,"Clemente, Clemente Playground",MAP,SITE,Clemente ,1831,RECREATION_SITE,17538.72265625,540.780786558473
298,Juniata Park Older Adult Center,Juniata Park Older Adult Center,Juniata Park Older Adult Center,1231 E SEDGLEY AVE,LAND,PROGRAM,109569.22709103,2.5153734,19124, ,MAP,SITE,Juniata Park Older Adult Center,3466,OLDER_ADULT_CENTER,17369.2265625,564.331874107844
299,Matthias Baldwin Park,Matthias Baldwin Park,Matthias Baldwin Park,429 N 19TH ST,LAND,NO_PROGRAM,93743.74882502,2.15206896,19130,Franklintown Park,MAP,SITE,Matthias Baldwin Park,2814,MINI_PARK,14842.15234375,511.870527755057
300,Conestoga Community Playground,Conestoga Community Playground,Conestoga Community Playground,5300 MEDIA ST,LAND,PROGRAM,107005.28695421,2.4565132,19131,Conestoga,MAP,SITE,Conestoga ,1982,RECREATION_SITE,16948.6328125,716.063595938843
301,Dave Dougherty Field,Dave Dougherty Field,Dave Dougherty Field,1301 E COLUMBIA AVE,LAND,NO_PROGRAM,107312.75469055,2.46357172,19125,Hetzell Playground,MAP,SITE,Dave Dougherty Field,629,RECREATION_SITE,16995.83984375,519.129443421391
302,Samuel Recreation Center,Samuel Recreation Center,Samuel Recreation Center,3539 GAUL ST,LAND,PROGRAM,105975.31322284,2.43286816,19134,"Samuel, Fox Square",MAP,SITE,Samuel,1948,RECREATION_SITE,16793.0234375,510.011526735747
303,Frank J.G. Dorsey Memorial Playground,Frank J.G. Dorsey Memorial Playground,Frank J.G. Dorsey Memorial Playground,6501 HEGERMAN ST,LAND,PROGRAM,105275.26898677,2.41679729,19135,"Dorsey, Dorsey Playground",MAP,SITE,Dorsey ,1848,RECREATION_SITE,16697.265625,568.185513742814
304,John F. Kennedy Plaza,John F. Kennedy Plaza,Benjamin Franklin Parkway,1501 JOHN F KENNEDY BLVD,LAND,NO_PROGRAM,106280.28523779,2.43986938,19102,Love Park,MAP,NOT_SITE,JFK Plaza (Love Park),205,SQUARE_PLAZA,16823.390625,525.829077215281
305,12th & Cambria Playground,12th & Cambria Playground,12th & Cambria Playground,2900 N 12TH ST,LAND,PROGRAM,101816.02129948,2.33738358,19133,12th & Cambria,MAP,SITE,12th & Cambria ,1800,RECREATION_SITE,16136.8828125,542.995987413907
306,Starr Garden Playground,Starr Garden Playground,Starr Garden Playground,606 LOMBARD ST,LAND,PROGRAM,94387.52748961,2.16684814,19147,Starr Garden,MAP,SITE,Starr Garden ,1957,RECREATION_SITE,14935.83984375,507.382393883514
307,Womrath Park,Womrath Park,Womrath Park,4098 FRANKFORD AVE,LAND,NO_PROGRAM,94424.14500715,2.16768877,19124, ,MAP,SITE,Womrath Park,120,MINI_PARK,14970.4609375,591.724806953893
308,Thomas I. Guerin Recreation Center,Thomas I. Guerin Recreation Center,Thomas I. Guerin Recreation Center,2201 S 16TH ST,LAND,PROGRAM,89159.54919181,2.04682979,19145,"Guerin, Guerin Recreation Center",MAP,SITE,Guerin,1865,RECREATION_SITE,14100.3515625,503.265398259058
309,Clarkson Park,Clarkson Park,Clarkson Park,5475 N BROAD ST,LAND,NO_PROGRAM,90229.3963377,2.0713902,19141, ,MAP,SITE,Clarkson Park,2815,MINI_PARK,14317.015625,797.203312549049
310,Foglietta Plaza,Foglietta Plaza,I-95 Park,109 SPRUCE ST,LAND,NO_PROGRAM,89601.54207861,2.0569766,19106, ,MAP,NOT_SITE,Foglietta Plaza,1625,GREENWAY_PARKWAY,14179.328125,472.509856919324
311,South Philadelphia Older Adults Center,South Philadelphia Older Adults Center,South Philadelphia Older Adults Center,1430 E PASSYUNK AVE,LAND,NO_PROGRAM,81684.79285353,1.87523231,19147, ,MAP,SITE,S Phila Older Adults Center,2895,OLDER_ADULT_CENTER,12921.546875,643.956811948015
312,Pretzel Park,Pretzel Park,Pretzel Park,4300 SILVERWOOD ST,LAND,NO_PROGRAM,87846.19866574,2.01667929,19127,Manayunk Park,MAP,SITE,Pretzel Park,749,NEIGHBORHOOD_PARK,13934.55859375,515.74462312278
313,A. Giuseppe DiSilvestro Playground,A. Giuseppe DiSilvestro Playground,A. Giuseppe DiSilvestro Playground,1700 S BROAD ST,LAND,PROGRAM,86716.11918925,1.99073614,19145,"Disilvestro, DiSilvestro Playground",MAP,SITE,DiSilvestro,228,RECREATION_SITE,13716.41796875,496.542683771583
314,Penrose Playground,Penrose Playground,Penrose Playground,1101 W SUSQUEHANNA AVE,LAND,PROGRAM,85263.70381731,1.95739313,19133,Penrose,MAP,SITE,Penrose ,1977,RECREATION_SITE,13509.21875,489.029336253424
315,Seger Park Playground,Seger Park Playground,Seger Park Playground,1020 LOMBARD ST,LAND,PROGRAM,83256.10939871,1.91130492,19147,"Seger, Seger Recrecation Center",MAP,SITE,Seger Park ,1951,RECREATION_SITE,13174.7109375,488.311980321813
316,Eric N. Casiano Field,Eric N. Casiano Field,Eric N. Casiano Field,2301 N 04TH ST,LAND,NO_PROGRAM,81522.76558418,1.87151266,19133,"Dauphin & Oriana Fields,4th & York;4th & Dauphin",MAP,SITE,Casiano Field,1302,NEIGHBORHOOD_PARK,12916.37109375,463.647563920428
317,Venice Island Playground,Venice Island Playground,Venice Island Playground,1 RECTOR ST,LAND,PROGRAM,210970.8387641,4.8432434,19127,Venice Island,MAP,SITE,Venice Island ,3448,RECREATION_SITE,33462.84765625,1099.27518743428
318,Hancock Playground,Hancock Playground,Hancock Playground,147 MASTER ST,LAND,PROGRAM,77685.54948863,1.78342195,19122,"Hancock, St John's",MAP,SITE,Hancock ,1867,RECREATION_SITE,12303.78125,469.019609784349
319,Howard Sayre Morris Recreation Center,Howard Sayre Morris Recreation Center,Howard Sayre Morris Recreation Center,5825 SPRUCE ST,LAND,PROGRAM,69952.67918524,1.60589897,19139,Sayre-Morris,MAP,SITE,Sayre-Morris,1949,RECREATION_SITE,11073.77734375,481.115005326316
320,Burke Playground,Burke Playground,Burke Playground,200 SNYDER AVE,LAND,PROGRAM,74566.86838159,1.7118266,19148, ,MAP,SITE,Burke ,202,RECREATION_SITE,11791.9765625,470.267231615819
321,Kay Park,Kay Park,Kay Park,4712 PULASKI AVE,LAND,NO_PROGRAM,77982.10257874,1.7902299,19144,Vandergrift Estate,MAP,SITE,Kay Park,1629,MINI_PARK,12368.5703125,494.778104878521
322,Sherwood Park,Sherwood Park,Sherwood Park,5601 BALTIMORE AVE,LAND,NO_PROGRAM,71762.85235242,1.64745499,19143, ,MAP,SITE,Sherwood Park,181,MINI_PARK,11357.01953125,518.381899641715
323,Howell Park,Howell Park,Howell Park,5215 GREENE ST,LAND,NO_PROGRAM,67910.64567341,1.55902014,19144, ,MAP,SITE,Howell Park,1172,MINI_PARK,10773.8359375,581.208914517582
324,Norman (Butch) Ellis Playground,Norman (Butch) Ellis Playground,Norman (Butch) Ellis Playground,714 N 39TH ST,LAND,PROGRAM,64459.4064925,1.47979027,19104,"39th and Olive Playground, Ellis Playground",MAP,SITE,Ellis Playground,1803,RECREATION_SITE,10206.9765625,441.982568869768
325,Towey Playground,Towey Playground,Towey Playground,1866 N HOWARD ST,LAND,PROGRAM,63247.90477987,1.45197791,19122,Towey,MAP,SITE,Towey ,1964,RECREATION_SITE,10018.796875,397.541626552407
326,Fishtown Recreation Center,Fishtown Recreation Center,Fishtown Recreation Center,1222 E MONTGOMERY AVE,LAND,PROGRAM,61847.19916345,1.41982201,19125,"Fishtown, Lederer Recreation Center",MAP,SITE,Fishtown,1856,RECREATION_SITE,9794.99609375,478.01993977248
327,Shot Tower Playground,Shot Tower Playground,Shot Tower Playground,129 CARPENTER ST,LAND,PROGRAM,62645.9692858,1.43815932,19147,Shot Tower,MAP,SITE,Shot Tower ,969,RECREATION_SITE,9910.79296875,438.476933492911
328,Marian Winfield Hissey Recreation Center,Marian Winfield Hissey Recreation Center,Marian Winfield Hissey Recreation Center,424 E INDIANA AVE,LAND,PROGRAM,62778.81878988,1.44120913,19134,Hissey Playground,MAP,SITE,Hissey ,569,RECREATION_SITE,9949.08984375,397.405548837881
329,Shevchenko Park,Shevchenko Park,Shevchenko Park,5301 N BROAD ST,LAND,NO_PROGRAM,57526.27172769,1.32062676,19141, ,MAP,SITE,Shevchenko Park,1170,MINI_PARK,9127.45703125,500.982517942624
330,61st & Cobbs Creek,61st & Cobbs Creek,Cobbs Creek Park,61ST & COBBS CREEK,LAND,NO_PROGRAM,291411.40763242,6.68991215,19143, ,MAP,NOT_SITE,61st & Cobbs Creek,3481,RECREATION_SITE,46116.390625,1073.84766911033
331,Ashburn Field West Home Dugout,Richie Ashburn Field,Franklin Delano Roosevelt Park,3500 S BROAD ST,BUILDING,NO_PROGRAM,434.3869142,0.00997219,19145, ,NO_MAP,NOT_SITE,,748,ATHLETIC,68.6484375,41.923816384736
332,Ashburn Field Restrooms,Richie Ashburn Field,Franklin Delano Roosevelt Park,3500 S BROAD ST,BUILDING,NO_PROGRAM,723.93908962,0.01661942,19145, ,NO_MAP,NOT_SITE,,1373,RESTROOMS,114.40625,44.6761137395143
333,FDR Pool Building,FDR Pool Building,Franklin Delano Roosevelt Park,1601 FDR PARK DR,BUILDING,NO_PROGRAM,14444.52947765,0.33160209,19145,FDR Pool Locker Room,NO_MAP,NOT_SITE,,2843,MULTI_USE,2282.83984375,299.615202970194
334,District Office (FDR Park),District Office (FDR Park),Franklin Delano Roosevelt Park,1607 FDR PARK DR,BUILDING,NO_PROGRAM,14230.27073745,0.32668337,19145,"District #7 Op & Maint HQ;FDR Mainenance",NO_MAP,NOT_SITE,District Office (FDR),948,OPERATIONS_MAINTENANCE_STORAGE,2249,293.812008539173
335,FDR Park Boathouse,FDR Park Boathouse,Franklin Delano Roosevelt Park,1900 FDR PARK DR,BUILDING,NO_PROGRAM,9196.14712255,0.21111533,19145,Boat House Pavilion #09 FDR,NO_MAP,NOT_SITE,,949,BOATHOUSE,1453.53515625,186.521979804894
336,FDR Park Golf Course Club House,Franklin Delano Roosevelt Park Golf Course,Franklin Delano Roosevelt Park,3500 S BROAD ST,BUILDING,NO_PROGRAM,8639.19225085,0.19832936,19145, ,NO_MAP,NOT_SITE,,641,MULTI_USE,1365.53125,159.917836919061
337,FDR Park Golf Course Maintenance and Car Barn,Franklin Delano Roosevelt Park Golf Course,Franklin Delano Roosevelt Park,3500 S BROAD ST,BUILDING,NO_PROGRAM,8447.68013192,0.19393283,19145, ,NO_MAP,NOT_SITE,,640,OPERATIONS_MAINTENANCE_STORAGE,1335.2734375,175.668614437636
338,Bellaire Manor,Franklin Delano Roosevelt Park Golf Course,Franklin Delano Roosevelt Park,2000 PATTISON AVE,BUILDING,NO_PROGRAM,1126.05099301,0.02585068,19145, ,NO_MAP,NOT_SITE,Bellaire Manor,122,HISTORIC_HOUSE,177.98828125,56.862524549003
339,Bellaire Manor Bakehouse,Franklin Delano Roosevelt Park Golf Course,Franklin Delano Roosevelt Park,2000 PATTISON AVE,BUILDING,NO_PROGRAM,534.17045296,0.01226292,19145, ,NO_MAP,NOT_SITE,,1375,HISTORIC_HOUSE,84.43359375,37.2105235479743
340,FDR Park Police Building,FDR Park Police Building,Franklin Delano Roosevelt Park,1600 PATTISON AVE,BUILDING,NO_PROGRAM,17245.18537916,0.39589656,19145,FDR Stables,NO_MAP,NOT_SITE,,950,MULTI_USE,2725.86328125,400.922019335838
341,American-Swedish Historical Museum Building,American-Swedish Historical Museum,Franklin Delano Roosevelt Park,1900 PATTISON AVE,BUILDING,NO_PROGRAM,10754.67036998,0.24689425,19145, ,NO_MAP,NOT_SITE,,951,MUSEUM,1700,321.430369158039
342,William A. Cibotti Recreation Center Building,William A. Cibotti Recreation Center Building,William A. Cibotti Recreation Center,2500 S 77TH ST,BUILDING,PROGRAM,3650.21640889,0.08379777,19153,Cibotti Recreation Center,NO_MAP,NOT_SITE,,1376,RECREATION_SITE,577.02734375,98.8357992982172
343,Thomas P. Stokley Recreation Center,Thomas P. Stokley Recreation Center,Thomas P. Stokley Recreation Center,3000 EDGEMONT ST,LAND,PROGRAM,36694.08310949,0.84238361,19134,Stokley,MAP,SITE,Stokley ,1959,RECREATION_SITE,5813.19921875,302.214908763499
344,Cedar Park,Cedar Park,Cedar Park,4917 BALTIMORE AVE,LAND,NO_PROGRAM,36546.41222153,0.83899354,19143, ,MAP,SITE,Cedar Park,401,MINI_PARK,5783.99609375,377.916807128464
345,Waterloo Playground,Waterloo Playground,Waterloo Playground,2501 WATERLOO ST,LAND,PROGRAM,45203.9342317,1.03774369,19133,Waterloo,MAP,SITE,Waterloo ,2901,RECREATION_SITE,7162.66015625,490.133044166884
346,75th & Chelwynde Park,75th & Chelwynde Park,75th & Chelwynde Park,2604 ISLAND AVE,LAND,NO_PROGRAM,35451.03947118,0.81384714,19153, ,MAP,SITE,75th & Chelwynde Park,3472,MINI_PARK,5604.38671875,352.459045220097
347,Tip Top Playground,Tip Top Playground,Tip Top Playground,1013 N HOPE ST,LAND,PROGRAM,34251.9207971,0.78631905,19123, ,MAP,SITE,Tip Top ,279,RECREATION_SITE,5423.81640625,316.916464090567
348,Palmer Park,Palmer Park,Palmer Park,1701 FRANKFORD AVE,LAND,NO_PROGRAM,35532.05223632,0.81570694,19125, ,MAP,SITE,Palmer Park,1171,MINI_PARK,5627.87109375,292.852521638213
349,Trenton & Auburn Playground,Trenton & Auburn Playground,Trenton & Auburn Playground,2222 E AUBURN ST,LAND,NO_PROGRAM,35205.23050648,0.80820412,19134,Auburn & Trenton Playground,MAP,SITE,Trenton & Auburn ,583,RECREATION_SITE,5577.96875,321.070827884735
350,James Otis Ford Recreation Center,James Otis Ford Recreation Center,James Otis Ford Recreation Center,633 SNYDER AVE,LAND,PROGRAM,34844.65579889,0.79992643,19148,"Ford, Ford Recreation Center",MAP,SITE,Ford,958,RECREATION_SITE,5510.6171875,322.739984208952
351,Ben Barkan Park,Ben Barkan Park,Ben Barkan Park,4998 SPRUCE ST,LAND,NO_PROGRAM,34023.66654989,0.78107903,19143,Barkan Park,MAP,SITE,Ben Barkan Park,239,MINI_PARK,5385.63671875,303.834102270077
352,Charles A. Baker Playground,Charles A. Baker Playground,Charles A. Baker Playground,5433 LANSDOWNE AVE,LAND,PROGRAM,33066.87377852,0.759114,19131,"Baker, Baker Playground",MAP,SITE,Baker ,1981,RECREATION_SITE,5237.79296875,315.120631279032
353,8th & Diamond Playground,8th & Diamond Playground,8th & Diamond Playground,2062 N 08TH ST,LAND,PROGRAM,31333.58593648,0.71932303,19122,8th & Diamond,MAP,SITE,8th & Diamond ,1805,RECREATION_SITE,4964.07421875,301.272961058871
354,"Frank S. Nelson, Jr. Memorial Recreation Center","Frank S. Nelson, Jr. Memorial Recreation Center","Frank S. Nelson, Jr. Memorial Recreation Center",2528 N 03RD ST,LAND,PROGRAM,31392.95688886,0.72068601,19133,"Nelson, Nelson Playground",MAP,SITE,Nelson ,1988,RECREATION_SITE,4974.34375,299.56543860391
355,Fitler Square,Fitler Square,Fitler Square,2301 PINE ST,LAND,NO_PROGRAM,31364.36431834,0.72002961,19103, ,MAP,SITE,Fitler Square,2904,SQUARE_PLAZA,4963.78515625,292.6747069823
