OBJECTID,ASSET_NAME,SITE_NAME,CHILD_OF,ADDRESS,TYPE,DESCRIPTION,SQ_FEET,ACREAGE,ZIPCODE,ALLIAS,NOTES,TENANT,LABEL,DPP_ASSET_ID,PPR_USE,Shape__Area,Shape__Length
74,Chamounix Fields North,Chamounix Fields North,West Fairmount Park,3299 CHAMOUNIX DR,LAND,NO_PROGRAM,183649.33192475,4.2160254,19131,Chamounix North Softball Field,NO_MAP,NOT_SITE,,3105,ATHLETIC,29110.41015625,710.38458582446
75,Chamounix Fields South,Chamounix Fields South,West Fairmount Park,3701 CHAMOUNIX DR,LAND,NO_PROGRAM,189226.28214913,4.34405507,19131, ,NO_MAP,NOT_SITE,,3107,ATHLETIC,29989.46875,676.283005340419
76,Boyce Field,Boyce Field,Wissahickon Valley Park,5901 HENRY AVE,LAND,NO_PROGRAM,116846.79641343,2.68244407,19128, ,MAP,NOT_SITE,Boyce Field,3097,ATHLETIC,18538.46875,585.814412963914
77,Arrow Field,Arrow Field,Wissahickon Valley Park,640 W WALNUT LN,LAND,NO_PROGRAM,100910.42545291,2.31659387,19128,,MAP,NOT_SITE,Arrow Field,730,ATHLETIC,16008.5859375,569.185781217987
78,Pennypack Environmental Education Center,Pennypack Environmental Education Center,Pennypack Park,8600 VERREE RD,LAND,NO_PROGRAM,102275.11112023,2.34792287,19115,Verree Rd Interpretive Center,MAP,NOT_SITE,Pennypack Environmental Center,3462,MULTI_USE,16252.84375,523.604683187518
79,Cobbs Creek & Karakung Golf Course,Cobbs Creek & Karakung Golf Course,Cobbs Creek Park,7900 LANSDOWNE AVE,LAND,NO_PROGRAM,13122089.3749155,301.24292616,19151, ,MAP,NOT_SITE,Cobbs Creek Golf Course,993,GOLF,2078113.86328125,8896.75459991941
80,Pennypack on the Delaware,Pennypack on the Delaware,Pennypack on the Delaware,8201 STATE RD,LAND,NO_PROGRAM,7199108.83766619,165.269459,19136,Pennypack Park at Mouth of Delaware,MAP,SITE,Pennypack on the Delaware,1631,COMMUNITY_PARK,1142137.8359375,11517.9141720939
81,Fox Chase Farm,Fox Chase Farm,Fox Chase Farm,8821 PINE RD,LAND,NO_PROGRAM,5227119.3931994,119.99862952,19111,"Butler Exhibit Farm; Butler Tract",MAP,SITE,Fox Chase Farm,1323,FARM,830734.17578125,3901.82124504246
82,Morris Park,Morris Park,Morris Park,6600 SHERWOOD RD,LAND,NO_PROGRAM,5564707.5880011,127.74861907,19151, ,MAP,SITE,Morris Park,1283,REGIONAL_CONSERVATION_WATERSHED,881491.21484375,6031.83623516391
83,Juniata Golf Course,Juniata Golf Course,Tacony Creek Park,1391 E CAYUGA ST,LAND,NO_PROGRAM,4037889.04000895,92.69754802,19124, ,MAP,NOT_SITE,Juniata Golf Course,348,GOLF,640344.90234375,4740.49250306285
84,Walnut Lane Golf Course,Walnut Lane Golf Course,Wissahickon Valley Park,5819 MAGDALENA ST,LAND,NO_PROGRAM,3739898.74513416,85.85660479,19128, ,MAP,NOT_SITE,Walnut Ln Golf Course,1656,GOLF,593306.9453125,4539.75512513468
85,Walton Run,Walton Run,Walton Run,11000 ACADEMY RD,LAND,NO_PROGRAM,3951251.91903023,90.70862544,19154, ,MAP,SITE,Walton Run,2790,REGIONAL_CONSERVATION_WATERSHED,627888.7109375,6253.61003671829
86,John Byrne Golf Course,John Byrne Golf Course,John Byrne Golf Course,9550 LEON ST,LAND,NO_PROGRAM,3735159.44735113,85.74780505,19114, ,MAP,SITE,John Byrne Golf Course,547,GOLF,593109.26953125,4176.82510982403
87,Joseph C. Fluehr Memorial Park,Joseph C. Fluehr Memorial Park,Joseph C. Fluehr Memorial Park,4800 GRANT AVE,LAND,NO_PROGRAM,2734191.15832018,62.76864314,19114,Fluehr Park,MAP,SITE,Fluehr Park,188,COMMUNITY_PARK,434078.97265625,2872.68883209088
88,Philadelphia Zoological Gardens,Philadelphia Zoological Gardens,West Fairmount Park,3400 W GIRARD AVE,LAND,NO_PROGRAM,2385407.99817367,54.76165151,19104, ,MAP,NOT_SITE,Philadelphia Zoo,504,ZOO_HABITAT,377788.0703125,4245.20140001141
89,Manatawna Farm,Manatawna Farm,Manatawna Farm,100 SPRING LN,LAND,NO_PROGRAM,2810740.88367229,64.52599005,19128, ,MAP,SITE,Manatawna Farm,1899,FARM,446276.31640625,3965.8280149092
90,Wister's Woods Park,Wister's Woods Park,Wister's Woods Park,1998 BELFIELD AVE,LAND,NO_PROGRAM,2785324.95090468,63.94251819,19141, ,MAP,SITE,Wister's Woods Park,875,NEIGHBORHOOD_PARK,441936.12109375,6977.0272090294
91,Fairmount Park Horticulture Center,Fairmount Park Horticulture Center,West Fairmount Park,4200 HORTICULTURAL DR,LAND,NO_PROGRAM,2243978.76188164,51.51487001,19131, ,MAP,NOT_SITE,Horticulture Center,1874,GARDEN,355505.515625,2656.72917623944
92,Wooden Bridge Run,Wooden Bridge Run,Wooden Bridge Run,2855 WILLITS RD,LAND,NO_PROGRAM,2138607.2527436,49.09586334,19114, ,MAP,SITE,Wooden Bridge Run,1632,REGIONAL_CONSERVATION_WATERSHED,339623.484375,4653.00005580835
93,Bartram's Garden,Bartram's Garden,Bartram's Garden,5400 LINDBERGH BLV,LAND,NO_PROGRAM,1996002.28725638,45.82209071,19143,Bartram's Homestead,MAP,SITE,Bartram's Garden,476,COMMUNITY_PARK,315747.0546875,2961.89930278737
94,Wissinoming Playground,Wissinoming Playground,Wissinoming Playground,5801 FRANKFORD AVE,LAND,PROGRAM,1857072.74833934,42.6326946,19135,Wissinoming,MAP,SITE,Wissinoming ,1973,RECREATION_SITE,294567.20703125,2216.66894776195
95,Fernhill Park,Fernhill Park,Fernhill Park,4600 MORRIS ST,LAND,PROGRAM,1842761.75530702,42.30415809,19144, ,MAP,SITE,Fernhill Park,833,COMMUNITY_PARK,292246.9921875,4250.66442678055
96,Roxborough Reservoir,Roxborough Reservoir,Roxborough Reservoir,601 PORT ROYAL AVE,LAND,NO_PROGRAM,1624136.22892608,37.28518654,19128, ,MAP,SITE,Roxborough Reservoir,2792,RESERVOIR,257859.79296875,2021.17172454774
97,Manayunk Canal,Manayunk Canal,Manayunk Canal,4500 MAIN ST,LAND,NO_PROGRAM,1472421.51541939,33.80228203,19127, ,MAP,SITE,Manayunk Canal,2793,GREENWAY_PARKWAY,233622.22265625,9628.9668050743
98,Carroll Park Cobbs Creek,Carroll Park Cobbs Creek,Cobbs Creek Park,7800 CITY AVE,LAND,NO_PROGRAM,1400483.98353745,32.15081693,19151, ,MAP,NOT_SITE,Carroll Park - Cobbs Creek,3098,REGIONAL_CONSERVATION_WATERSHED,221838.2890625,2544.51264168853
99,Fish Hatchery at Pleasant Hill Park,Fish Hatchery at Pleasant Hill Park,Fish Hatchery at Pleasant Hill Park,9201 N DELAWARE AVE,LAND,PROGRAM,1531177.58926306,35.15114128,19136,"Torresdale Fish Hatchery;Pleasant Hill Beach",MAP,SITE,Fish Hatchery at Pleasant Hill Park,1255,COMMUNITY_PARK,242998.6015625,4025.35617544058
100,Holme-Crispin Park,Holme-Crispin Park,Holme-Crispin Park,2999 HOLME AVE,LAND,PROGRAM,1372200.58653181,31.50151688,19136,Pennypack Community Center ,MAP,SITE,Holme Crispin Park,1633,REGIONAL_CONSERVATION_WATERSHED,217866.78515625,3368.91283756444
101,W. Freeland Kendrick Recreation Center,W. Freeland Kendrick Recreation Center,W. Freeland Kendrick Recreation Center,5878 RIDGE AVE,LAND,PROGRAM,349139.12339282,8.01516345,19128,"Kendrick ,Kendrick Recreation Center",MAP,SITE,Kendrick ,1885,RECREATION_SITE,55387.25390625,931.283098565252
102,Fanny Kemble Abolitionist Memorial Park,Fanny Kemble Abolitionist Memorial Park,Fanny Kemble Abolitionist Memorial Park,5641 OGONTZ AVE,LAND,NO_PROGRAM,348486.75183182,8.000187,19141,Kemble Park,MAP,SITE,Kemble Park,731,NEIGHBORHOOD_PARK,55301.83984375,1088.01019856879
103,Bridesburg Recreation Center,Bridesburg Recreation Center,Bridesburg Recreation Center,4649 RICHMOND ST,LAND,PROGRAM,347728.1069939,7.98277084,19137,Bridesburg,MAP,SITE,Bridesburg ,1822,RECREATION_SITE,55115.48046875,938.23851597021
104,Bradford Park,Bradford Park,Bradford Park,2400 FAUNCE ST,LAND,NO_PROGRAM,370818.04648453,8.51284504,19152, ,MAP,SITE,Bradford Park,236,MINI_PARK,58863.20703125,995.67035395716
105,Cobbs Creek Recreation Center & Pool,Cobbs Creek Recreation Center & Pool,Cobbs Creek Park,250 S 63RD ST,LAND,PROGRAM,301916.50424861,6.93107695,19139, ,MAP,NOT_SITE,Cobbs Creek Rec Center & Pool,1836,RECREATION_SITE,47796.78125,986.364605865576
106,Francis J. Myers Recreation Center,Francis J. Myers Recreation Center,Francis J. Myers Recreation Center,5800 CHESTER AVE,LAND,PROGRAM,332146.99660803,7.62507634,19143,FJ Myers,MAP,SITE,Myers,1858,RECREATION_SITE,52546.12109375,935.559657267646
107,Somerton Woods,Somerton Woods,Somerton Woods,900 WELTON ST,LAND,NO_PROGRAM,330678.72065356,7.59136922,19116,Stevens & Weltong Neighborhood Park,MAP,SITE,Somerton Woods,44,REGIONAL_CONSERVATION_WATERSHED,52592.68359375,958.413270653472
108,Smith Playground,Smith Playground,Smith Playground,2200 S 24TH ST,LAND,PROGRAM,330651.96359849,7.59075496,19145,"Smith ,Wilson Park",MAP,SITE,Smith ,502,RECREATION_SITE,52295.59765625,997.532840718843
109,Rittenhouse Square,Rittenhouse Square,Rittenhouse Square,1800 WALNUT ST,LAND,NO_PROGRAM,318592.29118454,7.31390187,19103, ,MAP,SITE,Rittenhouse Square,977,SQUARE_PLAZA,50423.83984375,870.116925675686
110,Rose Playground,Rose Playground,Cobbs Creek Park,7401 LANSDOWNE AVE,LAND,PROGRAM,320536.87705127,7.3585436,19151,"Rose, Samuel Rose Playground ",MAP,NOT_SITE,Rose ,1944,RECREATION_SITE,50766.91015625,932.283587298952
111,Loudoun Park,Loudoun Park,Loudoun Park,4650 GERMANTOWN AVE,LAND,NO_PROGRAM,334017.66382779,7.66802112,19144, ,MAP,SITE,Loudoun Park,1180,MINI_PARK,52983.47265625,1197.59608983186
112,Elmwood Park,Elmwood Park,Elmwood Park,7101 DICKS AVE,LAND,NO_PROGRAM,315138.47797398,7.23461291,19142, ,MAP,SITE,Elmwood Park,2907,NEIGHBORHOOD_PARK,49824.9765625,851.182883615872
113,Harry S. McDevitt Playground,Harry S. McDevitt Playground,Harry S. McDevitt Playground,3580 SCOTTS LN,LAND,PROGRAM,272396.0994712,6.253379,19129,,MAP,SITE,McDevitt,1906,RECREATION_SITE,43187.4765625,914.137317265324
114,Washington Square,Washington Square,Washington Square,600 WALNUT ST,LAND,NO_PROGRAM,313118.1096943,7.18823145,19106, ,MAP,SITE,Washington Square,16,SQUARE_PLAZA,49553.83984375,981.06083741263
115,Ziehler Playground,Ziehler Playground,Ziehler Playground,5530 B ST,LAND,PROGRAM,309641.5122991,7.10841944,19120,Ziehler,MAP,SITE,Zeihler ,1976,RECREATION_SITE,49129.02734375,884.925177974694
116,Franklin Square,Franklin Square,Franklin Square,200 N 06TH ST,LAND,NO_PROGRAM,312104.06846222,7.16495218,19106, ,MAP,SITE,Franklin Square,53,SQUARE_PLAZA,49405.890625,1024.69413223216
117,Thomas Mitchell Memorial Playground,Thomas Mitchell Memorial Playground,Thomas Mitchell Memorial Playground,3694 CHESTERFIELD RD,LAND,PROGRAM,298014.75726301,6.84150481,19114,,MAP,SITE,Mitchell ,1912,RECREATION_SITE,47331.0625,980.576783093238
118,Susan Gorgas Park,Susan Gorgas Park,Susan Gorgas Park,6424 RIDGE AVE,LAND,PROGRAM,920094.07167223,21.12253793,19128,Gorgas Park,MAP,SITE,Gorgas Park,803,COMMUNITY_PARK,145994.02734375,2233.10373336935
119,Marconi Plaza,Marconi Plaza,Marconi Plaza,2700 S BROAD ST,LAND,NO_PROGRAM,820937.73169011,18.84621248,19148, ,MAP,SITE,Marconi Plaza,1221,SQUARE_PLAZA,129800.9453125,2098.04847410323
120,Fort Mifflin on the Delaware,Fort Mifflin on the Delaware,Fort Mifflin on the Delaware,4800 FORT MIFFLIN RD,LAND,NO_PROGRAM,2270714.40029244,52.12863827,19153,Fort Mifflin Historical Site,MAP,SITE,Fort Mifflin,1267,HISTORIC_HOUSE,358596.15234375,2631.68431491948
121,J. Francis Finnegan Playground,J. Francis Finnegan Playground,J. Francis Finnegan Playground,6801 GROVERS AVE,LAND,PROGRAM,770898.89113566,17.69747417,19142,"Paschall Playground, J Finnegan",MAP,SITE,J. Finnegan Playground,95,RECREATION_SITE,121886.86328125,1833.57539529764
122,Lawncrest Recreation Center,Lawncrest Recreation Center,Lawncrest Recreation Center,6030 RISING SUN AVE,LAND,PROGRAM,756543.57829313,17.36792021,19111,Lawncrest,MAP,SITE,Lawncrest,1891,RECREATION_SITE,120080.515625,1437.55491073351
123,Pastorius Park,Pastorius Park,Pastorius Park,200 W HARTWELL LN,LAND,NO_PROGRAM,717047.96851395,16.46122215,19118, ,MAP,SITE,Pastorius Park,1213,COMMUNITY_PARK,113892.90234375,1639.27795576302
124,Vogt Recreation Center,Vogt Recreation Center,Vogt Recreation Center,4131 UNRUH AVE,LAND,PROGRAM,689635.57581089,15.83191769,19135,Vogt,MAP,SITE,Vogt,1968,RECREATION_SITE,109404.5625,1403.38833453912
125,American Legion Playground,American Legion Playground,American Legion Playground,6201 TORRESDALE AVE,LAND,PROGRAM,684838.64094801,15.72179477,19135,American Legion,MAP,SITE,American Legion,1808,RECREATION_SITE,108609.98046875,1363.73371334345
126,George Jacobs Playground,George Jacobs Playground,George Jacobs Playground,9050 TORRESDALE AVE,LAND,PROGRAM,639863.52741573,14.68930411,19136,"Jacobs, Jacobs Playground",MAP,SITE,Jacobs ,1877,RECREATION_SITE,101574.33203125,1369.23199962801
127,Fox Chase Recreation Center,Fox Chase Recreation Center,Fox Chase Recreation Center,601 BORBECK AVE,LAND,PROGRAM,713040.7393177,16.36922845,19111,"Fox Chase ,Fox Chase Playground",MAP,SITE,Fox Chase,1857,RECREATION_SITE,113263.57421875,1538.34936289044
128,Torresdale Playground,Torresdale Playground,Torresdale Playground,9550 FRANKFORD AVE,LAND,PROGRAM,619475.16223634,14.22124977,19114,"Torresdale; Torresdale Recreation Center",MAP,SITE,Torresdale ,68,RECREATION_SITE,98360.6171875,1389.36403544169
129,Burholme Driving Range,Burholme Driving Range,Burholme Park,401 W COTTMAN AVE,LAND,NO_PROGRAM,539157.95953469,12.37741314,19111, ,NO_MAP,NOT_SITE,Burholme Driving Range,489,GOLF,85630.3828125,1173.48975220709
130,Benjamin Franklin Parkway Medians,Benjamin Franklin Parkway Medians,Benjamin Franklin Parkway,BENJAMIN FRANKLIN PKWY,LAND,NO_PROGRAM,606840.9775097,13.93120764,19130, ,NO_MAP,NOT_SITE,,3464,GREENWAY_PARKWAY,96082.69140625,8265.46280231045
131,Simons Youth Center & Teen Center,Simons Youth Center & Teen Center,Simons Youth Center & Teen Center,7224 WOOLSTON AVE,LAND,PROGRAM,571529.63144598,13.12056744,19138,,MAP,SITE,Simons,1953,RECREATION_SITE,90752.52734375,1263.76911352307
132,Olney Recreation Center,Olney Recreation Center,Olney Recreation Center,6000 A ST,LAND,PROGRAM,593351.08976081,13.62152119,19120,Olney,MAP,SITE,Olney ,1924,RECREATION_SITE,94166.74609375,1312.85553825835
133,Wakefield Park,Wakefield Park,Wakefield Park,5300 N 16TH ST,LAND,NO_PROGRAM,638070.40580782,14.64813953,19141, ,MAP,SITE,Wakefield Park,877,NEIGHBORHOOD_PARK,101235.57421875,1975.17995676778
134,Russo Park Playground,Russo Park Playground,Russo Park Playground,7301 TORRESDALE AVE,LAND,PROGRAM,542883.49755839,12.46294006,19136,Russo Park,MAP,SITE,Russo Park ,1946,RECREATION_SITE,86125.8515625,1186.86403613396
135,Max Myers Playground,Max Myers Playground,Max Myers Playground,1805 HELLERMAN ST,LAND,PROGRAM,538851.91533757,12.3703873,19149,Max Myers,MAP,SITE,Max Myers ,1904,RECREATION_SITE,85506.94140625,1232.70662897891
136,Chalfont Playground,Chalfont Playground,Chalfont Playground,4200 DEERPATH LN,LAND,PROGRAM,598510.19694733,13.73995847,19154,"Chalfont; Chalfont & Deerpath Playground",MAP,SITE,Chalfont ,1826,RECREATION_SITE,95091.53125,2096.04275113749
137,Gustine Recreation Center,Gustine Recreation Center,Gustine Recreation Center,4842 RIDGE AVE,LAND,PROGRAM,528104.86397022,12.12366796,19129,"Gustine; Gustine Lake Rec Center",MAP,SITE,Gustine,1984,RECREATION_SITE,83738.33203125,1287.66844477851
